source,classification,repository_path,reason,bytes,source_sha256
/workspace/scratch/afcda1e6eea5/StoreScout/OUTREACH_PROSPECTS.md,include in repository,OUTREACH_PROSPECTS.md,"Pre-existing tracked reference, unchanged. New sanitized restoration and current prospect artifacts link to it only as historical context.",15608,ba7de9617df1089ba2ebad8b511abaad8b07aedf27067c2c8ebee26c9c3495e1
/workspace/scratch/afcda1e6eea5/StoreScout/docs/DEPENDENCIES.md,include in repository,docs/DEPENDENCIES.md,"Pre-existing tracked reference, unchanged. New sanitized restoration and current prospect artifacts link to it only as historical context.",2664,d5fe6445e91a9910163c87ff4a4dce5c4a19709a952a36159cafa469bb06d502
/workspace/scratch/afcda1e6eea5/StoreScout/docs/DIAGNOSIS_WORKER_RUNS.md,include in repository,docs/DIAGNOSIS_WORKER_RUNS.md,"Pre-existing tracked reference, unchanged. New sanitized restoration and current prospect artifacts link to it only as historical context.",6018,2730c8e75559064953aea195c71f2ece5f632746bb7134bdfce92799ebfdf6fa
/workspace/scratch/afcda1e6eea5/StoreScout/docs/OBSERVABILITY.md,include in repository,docs/OBSERVABILITY.md,"Pre-existing tracked reference, unchanged. New sanitized restoration and current prospect artifacts link to it only as historical context.",3290,76eb867f557355c4ed0d1b38e1ade64764740d5eee72bc108a409090c46b03b5
/workspace/scratch/afcda1e6eea5/StoreScout/docs/RUNBOOK.md,include in repository,docs/RUNBOOK.md,"Pre-existing tracked reference, unchanged. New sanitized restoration and current prospect artifacts link to it only as historical context.",5544,33e658c6e9d4cbb224a177fef5b112eb1ff8cf920f34c046b94bd36c3732993a
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/README.md,include in repository,docs/quality-audit/README.md,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",2932,16a7f1273f62b9e90f5edc6480f1e1adf5cfc0c8f52fdf84e8c579838e28e781
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/discovery-synthetic/README.md,include in repository,docs/quality-audit/discovery-synthetic/README.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,366,5cba0592b9f1284dfb91f22607e06abb1673da85b9ea97469b8682540f8cf2ef
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/feature-route-inventory.json,include in repository,docs/quality-audit/feature-route-inventory.json,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",47804,9b7b80a6da183ade50d975667c3905872765cda20811ab276fa24faa093cd4b2
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/index-health-readonly.sql,include in repository,docs/quality-audit/index-health-readonly.sql,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",2160,a5033ff66cc2ca2db5997b9a7b89e2c65aa365cb337adb3e71fad05177d880a8
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/product/CORE-PRODUCT-LOGIC.md,include in repository,docs/quality-audit/product/CORE-PRODUCT-LOGIC.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,24835,b2adda29f2f6d395987fd32bc6f0e220e0d6b0524bd5b468d524fc7216f8a4ea
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/product/FULL-FEATURE-AND-ACTIONABILITY-AUDIT.md,include in repository,docs/quality-audit/product/FULL-FEATURE-AND-ACTIONABILITY-AUDIT.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,31644,0adb3f8024b9f17a2864a109ed15e4d4b83cbc3f81326d2f82dd02d78384a30a
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/product/PLAYBOOK-INTELLIGENCE-AND-ACTIONABILITY.md,include in repository,docs/quality-audit/product/PLAYBOOK-INTELLIGENCE-AND-ACTIONABILITY.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,7334,30cb8e841989e087020d64a3c16b8ec071fba769e28765c64779ad0cee7b9d7a
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/prospects/PROSPECT-RESEARCH-AND-OUTREACH-DRAFTS.md,include in repository,docs/quality-audit/prospects/PROSPECT-RESEARCH-AND-OUTREACH-DRAFTS.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,39718,23c889cae9bba40cca8c7ba0e9140791e6dfc8156c69371ddd6491694bdcb8ec
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/real-world/EVALUATION-PROTOCOL.md,include in repository,docs/quality-audit/real-world/EVALUATION-PROTOCOL.md,Generated navigation/extract/provenance file; source content retained or explicitly sanitized.,1995,8e1f1c996228ff51ec11d8be08f9c42134ba3facdbf48aabc876bc1c46e3cf3f
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/real-world/IMPLEMENTATION-SPECS.md,include in repository,docs/quality-audit/real-world/IMPLEMENTATION-SPECS.md,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",35189,a436e59ff2a525b3c85a89df1dd290ede5b12d58cf8aff199a5fd7ee759e5ed3
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/real-world/MEASURED-RESUME.md,include in repository,docs/quality-audit/real-world/MEASURED-RESUME.md,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",3413,6da7745417ca0841b2b73682353508b7c743c2d8413ec81115de0ec30718b8bf
/workspace/scratch/afcda1e6eea5/StoreScout/docs/quality-audit/real-world/baseline-manifest.json,include in repository,docs/quality-audit/real-world/baseline-manifest.json,"Existing audit documentation/evidence; retained. Historical null/blocker manifests remain historical, not current status.",1643,41c68c29da39e773ced14bcc4f4b2cf7855c7c706d0e4f94716c101829efe85a
