business,useful_available,useful_domains,description_top5,description_top10,structured_top5,structured_top10,description_not_returned,structured_not_returned
Durston,0,,0,0,0,0,,
Zpacks,0,,0,0,0,0,,
Gossamer Gear,0,,0,0,0,0,,
ILIA,2,peachandlily.com; tower28beauty.com,2,2,2,2,,
Tower 28,1,peachandlily.com,1,1,1,1,,
Saie,2,peachandlily.com; tower28beauty.com,2,2,2,2,,
Pipette,0,,0,0,0,0,,
Tubby Todd,0,,0,0,0,0,,
Babo Botanicals,0,,0,0,0,0,,
Onyx Coffee Lab,1,madcapcoffee.com,1,1,1,1,,
Counter Culture,1,madcapcoffee.com,1,1,1,1,,
Verve,1,madcapcoffee.com,1,1,1,1,,
Little Sleepies,0,,0,0,0,0,,
Kyte Baby,0,,0,0,0,0,,
Birdie Bean,0,,0,0,0,0,,
PureBites,2,fetchyourpetneeds.ie; redbarn.com,2,2,2,2,,
Stewart,2,fetchyourpetneeds.ie; redbarn.com,2,2,2,2,,
Stella & Chewy's,2,fetchyourpetneeds.ie; redbarn.com,2,2,2,2,,
Quince,5,arlingtontx.clothesmentor.com; shoppandcboutique.com; shopworthandgray.com; thezerano.com; wilkinsandolander.com,1,2,1,3,shoppandcboutique.com; shopworthandgray.com; wilkinsandolander.com,shoppandcboutique.com; shopworthandgray.com
Brooklinen,1,amorcustomgifts.com,1,1,1,1,,
Parachute,0,,0,0,0,0,,
Keychron,0,,0,0,0,0,,
NuPhy,0,,0,0,0,0,,
EPOMAKER,0,,0,0,0,0,,
ColourPop,2,peachandlily.com; tower28beauty.com,2,2,2,2,,
